Provider,TotalClaims,UniqueBeneficiaries,UniquePhysicians,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,IPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_mean,ChronicCond_Alzheimer_mean,ChronicCond_Heartfailure_mean,ChronicCond_KidneyDisease_mean,ChronicCond_Cancer_mean,ChronicCond_ObstrPulmonary_mean,ChronicCond_Depression_mean,ChronicCond_Diabetes_mean,ChronicCond_IschemicHeart_mean,ChronicCond_Osteoporasis_mean,ChronicCond_rheumatoidarthritis_mean,ChronicCond_stroke_mean,RenalDiseaseIndicator_mean,PotentialFraud,PotentialFraud_Encoded
PRV51001,25,24,14,104640,4185.6,10796.09114448373,5340.0,213.6,12.0,12.0,17606.0,2615.2,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,0.32,No,0
PRV51003,132,117,44,605670,4588.409090909091,7309.79472874617,66286.0,502.1666666666667,11.818181818181818,11.871212121212121,7568.181818181818,2678.181818181818,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.3106060606060606,0.4090909090909091,0.7575757575757576,0.8484848484848485,0.25,0.2878787878787879,0.09090909090909091,0.2196969696969697,Yes,1
PRV51004,149,138,38,52170,350.13422818791946,689.9637540197714,310.0,2.0805369127516777,11.865771812080537,11.95973154362416,4351.879194630873,2194.8993288590605,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,0.15436241610738255,No,0
PRV51005,1165,495,6,280910,241.1244635193133,491.556391867259,3700.0,3.1759656652360513,11.907296137339056,11.939914163090128,3623.991416309013,2109.733905579399,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,0.2223175965665236,Yes,1
PRV51007,72,58,10,33710,468.19444444444446,1433.7691157058027,3264.0,45.333333333333336,11.833333333333334,11.833333333333334,3050.0,1729.7222222222222,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.4027777777777778,0.6805555555555556,0.7083333333333334,0.2916666666666667,0.3055555555555556,0.16666666666666666,0.1527777777777778,No,0
PRV51008,43,36,10,35630,828.6046511627907,3224.7654631552355,2316.0,53.86046511627907,12.0,12.0,6592.093023255814,2570.4651162790697,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.046511627906976744,0.23255813953488372,No,0
PRV51011,58,53,28,16630,286.7241379310345,701.0478070917784,1368.0,23.586206896551722,12.0,12.0,4414.827586206897,1399.3103448275863,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.27586206896551724,0.034482758620689655,0.20689655172413793,No,0
PRV51012,48,31,14,16890,351.875,707.8936578689371,100.0,2.0833333333333335,12.0,11.5,6935.416666666667,3793.9583333333335,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,0.14583333333333334,No,0
PRV51013,46,44,9,14880,323.4782608695652,471.622341339171,230.0,5.0,12.0,12.0,3635.6521739130435,3226.521739130435,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.2391304347826087,No,0
PRV51014,30,25,7,10480,349.3333333333333,822.984196996362,120.0,4.0,12.0,12.0,2786.3333333333335,1742.3333333333333,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,0.26666666666666666,No,0
